Give,give,0.26,0.44
me,me,0.44,0.5800000000000001
your,your,0.58,0.8699999999999999
straightforward,straightforward,0.87,1.8900000000000001
position,position,1.89,2.54
on,on,2.62,2.8400000000000003
the,the,2.84,3.0
issue,issue,3.0,3.3
of,of,3.3,3.4099999999999997
abortion,abortion,3.41,3.8600000000000003
My,my,6.03,6.34
position,position,6.34,6.92
is,is,6.93,7.14
in,in,7.14,7.29
line,line,7.29,7.69
with,with,7.69,7.95
Roe,roe,7.95,8.14
v,v,8.15,8.34
Wade,wade,8.34,8.77
that,that,9.4,9.58
women,women,9.599999,10.039999
have,have,10.04,10.5
a,a,10.52,10.84
constitutional,constitutional,10.86,11.82
right,right,11.83,12.32
to,to,12.71,12.920000000000002
make,make,12.92,13.34
these,these,13.349999,13.689999
most,most,13.69,14.01
intimate,intimate,14.03,14.6
and,and,14.62,14.92
personal,personal,14.94,15.58
and,and,15.61,15.91
difficult,difficult,15.92,16.6
decisions,decisions,16.639999,17.539998999999998
based,based,17.869999,18.349999
on,on,18.35,18.73
their,their,18.74,18.99
conscience,conscience,19.02,19.65
their,their,19.65,19.88
faith,faith,19.88,20.4
their,their,20.43,20.78
family,family,20.79,21.439999999999998
their,their,21.44,21.82
doctor,doctor,22.1,22.82
and,and,23.64,23.990000000000002
that,that,23.990000000000002,24.18
it,it,24.21,24.43
is,is,24.45,24.97
something,something,25.53,26.12
that,that,26.119999999999997,26.47
really,really,26.61,26.9
goes,goes,26.9,27.22
to,to,27.22,27.32
the,the,27.32,27.44
core,core,27.439999999999998,27.979999999999997
of,of,28.369999999999997,28.79
privacy,privacy,28.84,29.63
And,and,29.689999999999998,30.259999999999998
I,i,30.33,30.59
want,want,30.59,30.99
to,to,31.02,31.36
maintain,maintain,31.369999999999997,32.12
that,that,32.94,33.33
constitutional,constitutional,33.969999,34.899999
protection,protection,34.91,35.62
under,under,35.92,36.22
Roe,roe,36.219999,36.419999000000004
v,v,36.44,36.66
Wade,wade,36.66,37.089999999999996
As,as,37.1,37.5
you,you,37.5,37.67
know,know,37.67,38.07
there,there,38.75,39.18
is,is,39.54,39.8
room,room,39.8,40.19
for,for,40.2,40.75
reasonable,reasonable,41.63,42.54
