Let,let,0.14,0.23
me,me,0.23,0.32
start,start,0.32,0.61
with,with,0.61,0.85
your,your,1.49,1.69
Republican,republican,1.69,2.1799999999999997
frontrunner,<unk>,2.57,2.71
continually,continually,2.72,3.6900000000000004
calling,calling,3.95,4.59
the,the,4.67,4.8
process,process,4.8,5.46
that,that,5.46,5.64
you're,you're,5.64,5.81
overseeing,overseeing,5.81,6.4399999999999995
rigged,rigged,6.49,7.19
How,how,10.54,10.76
do,do,10.76,10.83
you,you,10.83,11.01
tell,tell,11.01,11.299999999999999
Republican,republican,11.3,11.73
voters,voters,11.73,12.09
you,you,12.09,12.26
are,are,12.259999,12.359999
running,running,12.36,12.639999999999999
a,a,12.639999,12.709999
fair,fair,12.71,12.950000000000001
process,process,12.95,13.43
when,when,13.429999,13.529999
the,the,13.53,13.629999999999999
frontrunner,<unk>,14.0,14.15
is,is,14.21,14.420000000000002
calling,calling,14.42,14.709999999999999
what,what,14.71,14.83
you're,you're,14.83,14.92
doing,doing,14.92,15.29
rigged,rigged,15.29,15.68
You,you,18.48,18.62
know,know,18.619999,18.729999
look,look,18.73,18.94
I,i,18.95,19.11
don't,don't,19.16,19.4
know,know,19.4,19.49
what,what,19.49,19.66
the,the,19.66,19.76
motivation,motivation,19.76,20.5
is,is,20.5,20.69
There's,there's,21.9,22.18
really,really,22.18,22.68
nothing,nothing,23.06,23.709999999999997
that's,that's,23.72,24.049999999999997
rigged,rigged,24.06,24.709999999999997
or,or,24.77,25.19
being,being,25.22,25.56
changed,changed,25.56,26.139999999999997
or,or,26.139999,26.249999
altered,altered,26.25,26.65
These,these,26.679999000000002,26.849999000000004
are,are,26.849999,26.939999
the,the,26.939999999999998,27.049999999999997
same,same,27.05,27.400000000000002
rules,rules,27.4,27.669999999999998
that,that,27.67,27.790000000000003
were,were,27.79,27.93
in,in,27.929999000000002,28.059999
place,place,28.059998999999998,28.399998999999998
basically,basically,28.429999000000002,29.059999
for,for,29.059998999999998,29.549998999999996
over,over,30.059998999999998,30.329998999999997
a,a,30.33,30.409999999999997
century,century,30.41,31.02
But,but,31.02,31.32
at,at,31.809998999999998,31.959998999999996
the,the,31.96,32.04
very,very,32.04,32.36
least,least,32.36,32.839999999999996
there's,there's,32.88,33.17
no,no,33.17,33.35
way,way,33.349999,33.549999
around,around,33.549999,33.839999
the,the,33.839999,33.949999
fact,fact,33.95,34.300000000000004
that,that,34.33,34.58
all,all,34.6,34.84
of,of,34.84,34.970000000000006
these,these,34.969999,35.179999
states,states,35.190000999999995,35.720000999999996
submitted,submitted,35.730000000000004,36.28
their,their,36.279999000000004,36.409999000000006
delegate,delegate,36.41,36.87
allocation,allocation,36.87,37.54
plans,plans,37.54,38.019999999999996
by,by,38.04,38.23
October,october,38.23,38.88999999999999
1st,<unk>,39.53,39.68
of,of,39.69,39.9
2015,<unk>,39.92,41.02
And,and,41.46,41.79
not,not,41.8,42.05
a,a,42.05,42.11
single,single,42.11,42.47
thing,thing,42.47,42.72
has,has,42.72,42.879999999999995
changed,changed,42.88,43.28
about,about,43.28,43.63
it,it,43.63,43.75
These,these,43.76,44.03
conventions,conventions,44.03,44.86
that,that,44.86,45.03
people,people,45.03,45.31
talk,talk,45.309999,45.599999
about,about,45.61,45.98
number,number,46.3,46.51
one,one,46.51,46.8
it's,it's,46.84,47.03
not,not,47.03,47.27
common,common,47.269999999999996,47.74999999999999
But,but,47.75,47.89
a,a,47.889999,47.939999
few,few,47.94,48.16
states,states,48.16,48.589999999999996
out,out,48.63,48.82
West,west,48.83,49.26
use,use,49.259999,49.599999000000004
a,a,49.599999,49.709998999999996
convention,convention,49.719999,50.319999
system,system,50.32,50.86
where,where,51.219999,51.799999
delegates,<unk>,52.049999,52.059999
start,start,52.639999,53.209999
competing,competing,53.219999,53.879999
at,at,53.889999,54.089999000000006
the,the,54.09,54.220000000000006
county,county,54.23,54.62
level,level,54.62,54.949999999999996
a,a,54.95,55.0
month,month,55.0,55.25
ago,ago,55.25,55.7
and,and,56.14,56.29
they,they,56.29,56.38
go,go,56.38,56.53
through,through,56.53,56.85
the,the,56.85,57.0
county,county,57.0,57.49
the,the,57.51,57.64
precinct,precinct,57.64,58.3
the,the,58.31,58.72
congressional,congressional,58.730000000000004,59.230000000000004
district,district,59.230000000000004,59.59
in,in,59.59,59.68000000000001
a,a,59.68,59.74
state,state,59.74,59.99
convention,convention,59.99,60.480000000000004
And,,,
the,,,
candidates,candidates,60.87,61.269999999999996
participate,participate,61.3,61.9
the,the,61.9,62.01
whole,whole,62.01,62.19
way,way,62.19,62.349999999999994
through,through,62.349999,62.569998999999996
And,and,62.57,62.73
no,no,62.730000000000004,62.830000000000005
one,one,62.83,63.03
was,was,63.03,63.22
complaining,complaining,63.22,63.93
except,except,64.24,64.69
for,for,64.69,65.25999999999999
when,when,65.66,65.92999999999999
it,it,65.929999,66.019999
was,was,66.05,66.25999999999999
all,all,66.259999,66.459999
over,over,66.46000000000001,66.87
And,and,67.25,67.48
look,look,67.48,67.78
every,every,68.78,69.1
state,state,69.11,69.41
is,is,69.41,69.50999999999999
different,different,69.509999,69.929999
And,,,
you,you,70.52,70.75
can,can,70.75,70.91
reform,reform,70.91,71.31
the,the,71.309999,71.39999900000001
system,system,71.4,72.02000000000001
I,,,
mean,mean,72.25,72.43
look,look,72.43,72.62
this,this,73.359999,73.529999
has,has,73.53,73.65
been,been,73.65,73.82000000000001
an,an,73.82,73.92999999999999
ongoing,ongoing,73.94,74.39999999999999
debate,debate,74.4,74.84
But,,,
you,you,75.32,75.46
have,have,75.46,75.55999999999999
to,to,75.56,75.64
go,go,75.65,75.81
state,state,75.81,76.27
by,by,76.29,76.54
state,state,76.55,76.96
by,by,76.97,77.21
state,state,77.25,77.73
It's,it's,77.77,78.05
a,a,79.0,79.00999999999999
pretty,pretty,79.18,79.38000000000001
extraordinary,extraordinary,79.38,80.03999999999999
task,task,80.03999999999999,80.58
How,how,80.58,80.72
concerned,concerned,80.72,81.23
are,are,81.23,81.29
you,you,81.28999999999999,81.72999999999999
when,when,81.74,81.94999999999999
Donald,donald,81.96000000000001,82.21000000000001
Trump,trump,82.219999,82.459999
says,says,82.46000000000001,82.9
The,the,83.179999,83.319999
R,r,83.32,83.41
N,n,83.41,83.49
C,c,83.49,83.61999999999999
better,better,83.63,83.85
be,be,83.849999,83.999999
prepared,prepared,84.0,84.38
for,for,84.38,84.50999999999999
a,a,84.509999,84.58999899999999
rough,rough,84.59,84.84
July,july,84.84,85.4
And,and,85.74,85.89999999999999
are,are,85.9,85.98
you,you,85.98,86.11
concerned,concerned,86.11,86.45
about,about,86.45,86.62
reports,reports,86.62,86.94
of,of,86.94,87.08
threats,threats,87.08,87.57
being,being,87.57,87.8
made,made,87.799999,87.999999
to,to,88.0,88.06
delegates,,,
What,,,
do,,,
you,you,88.719999,88.869999
say,say,88.869999,89.37999900000001
to,to,89.559999,89.699999
any,any,89.69999899999999,89.88999899999999
campaign,campaign,89.889999,90.269999
doing,doing,90.27,90.46
that,that,90.46,90.66999999999999
Well,well,91.08,91.46
sure,sure,92.69,92.96
I,i,92.96,93.00999999999999
mean,mean,93.01,93.22
look,look,93.24,93.50999999999999
there's,there's,93.97,94.45
no,no,94.45,94.66
room,room,94.66,95.0
for,for,95.0,95.53
threatening,threatening,95.54,96.19000000000001
the,the,96.2,96.32000000000001
delegates,<unk>,96.85,96.97
or,or,96.97,97.08
the,the,97.08,97.17999999999999
convention,convention,97.18,97.93
or,or,97.94,98.12
anybody,anybody,98.12,98.71000000000001
that,that,98.71000000000001,98.87
would,would,98.87,98.99000000000001
be,be,99.0,99.14
going,going,99.139999,99.449999
to,to,99.45,99.88000000000001
our,our,100.37,100.55000000000001
national,national,100.55,100.96
convention,convention,100.96000000000001,101.60000000000001
But,but,101.91,102.00999999999999
I,i,102.009999,102.069999
also,also,102.07,102.28999999999999
think,think,102.28999999999999,102.49999999999999
some,some,102.5,102.65
of,of,102.65,102.75
this,this,102.75,102.89
is,is,102.9,103.07000000000001
rhetoric,rhetoric,103.07,103.58999999999999
and,and,103.59,103.73
hyperbole,hyperbole,103.74,104.53999999999999
And,and,104.53999999999999,104.8
the,the,105.03999999999999,105.16999999999999
truth,truth,105.17,105.48
is,is,105.48,105.71000000000001
is,is,105.71000000000001,105.87
that,that,105.88,106.11
the,the,106.119999,106.26999900000001
delegates,<unk>,106.869999,106.949999
themselves,themselves,106.98,107.60000000000001
are,are,107.6,107.66999999999999
the,the,107.67,107.78
ones,ones,107.779999,108.089999
that,that,108.09,108.25
write,write,108.25,108.5
the,the,108.5,108.62
rules,rules,108.62,108.97
for,for,108.98,109.10000000000001
the,the,109.1,109.17999999999999
convention,convention,109.18,109.75
The,the,109.75,109.84
R,r,109.84,109.95
N,n,109.95,110.06
C,c,110.06,110.3
doesn't,doesn't,110.32,110.63
write,write,110.63,110.89
any,any,110.89,111.13
rules,rules,111.13,111.44
The,the,111.44,111.53999999999999
R,r,111.54,111.63000000000001
N,n,111.63,111.75999999999999
C,c,111.76,112.0
has,has,112.01,112.26
basically,basically,112.26,112.96000000000001
an,an,113.61,113.94
administrative,administrative,113.94,114.89
role,role,114.89,115.46
at,at,115.71,115.96
the,the,115.96,116.07
convention,convention,116.07,116.66
It's,it's,116.66,116.82
by,by,116.82,116.97
majority,majority,117.01,117.56
rule,rule,117.559999,117.809999
the,the,117.809999,117.89999900000001
delegates,,,
can,can,118.44,118.78999999999999
run,run,119.67,119.93
the,the,119.929999,120.02999899999999
convention,convention,120.03,120.67
So,so,120.67,120.98
it's,it's,121.219999,121.419999
on,on,121.42,121.63
them,them,121.65,122.10000000000001
to,to,122.33,122.46
decide,decide,122.46000000000001,123.03
what,what,123.03,123.22
they,they,123.219999,123.349999
want,want,123.349999,123.579999
to,to,123.58,123.64
do,do,123.639999,123.859999
about,about,123.86,124.13
a,a,124.129999,124.179999
lot,lot,124.18,124.36000000000001
of,of,124.359999,124.459999
these,these,124.459999,124.639999
issues,issues,124.639999,125.03999900000001
not,not,125.039999,125.289999
us,us,125.289999,125.63999899999999
Who's,who's,125.719999,125.889999
picking,picking,125.889999,126.129999
this,this,126.129999,126.319999
nominee,nominee,126.32,126.80999999999999
The,the,126.85,126.99
voters,voters,126.99,127.39
or,or,127.39,127.45
the,the,127.45,127.51
delegates,<unk>,127.52000000000001,127.53
You,you,130.69,130.87
know,know,130.87,131.01
I,i,131.01,131.07999999999998
think,think,131.09,131.29
it's,it's,131.29,131.42
a,a,131.42,131.48999999999998
combination,combination,131.49,132.25
but,but,132.25,132.41
it's,it's,132.41,132.54999999999998
empowered,empowered,132.55,133.11
by,by,133.11,133.27
the,the,133.28,133.39000000000001
voters,voters,133.39,133.82999999999998
So,so,133.84,134.03
the,the,134.03,134.18
voters,voters,134.19,134.57
empower,empower,134.57,135.01999999999998
the,the,135.02,135.12
delegates,<unk>,135.12,135.13
But,but,135.66,135.82999999999998
ultimately,ultimately,135.84,136.3
the,the,136.3,136.4
delegates,<unk>,136.41,137.07
who,who,137.37,137.67000000000002
in,in,137.71,137.88
most,most,137.88,138.13
cases,cases,138.13,138.49
are,are,138.49,138.61
bound,bound,138.62,139.04
by,by,139.04,139.14
