Live,live,1.39,1.8399999999999999
from,from,1.87,2.08
The,,,
George,george,2.43,2.7600000000000002
Washington,washington,2.76,3.1399999999999997
University,university,3.48,3.99
in,in,4.23,4.25
the,the,4.25,4.2700000000000005
nation's,nation's,4.2700000000000005,4.57
capital,capital,4.74,5.0200000000000005
this,this,5.02,5.199999999999999
is,,,
CNN's,<unk>,5.359999999999999,5.76
debate,debate,6.03,6.2700000000000005
night,,,
on,on,6.79,6.96
the,the,6.96,7.04
future,future,7.11,7.54
of,of,7.54,7.7
the,the,7.86,7.88
Affordable,affordable,7.88,8.32
Care,care,8.42,8.65
Act,,,
also,also,8.87,9.17
known,known,9.17,9.43
as,,,
Obamacare,<unk>,9.75,10.36
Welcome,welcome,10.87,11.25
to,to,11.25,11.32
our,,,
viewers,viewers,11.49,11.92
in,in,12.08,12.1
the,the,12.1,12.12
United,united,12.12,12.61
States,,,
and,and,13.33,13.36
around,around,13.36,13.6
the,the,13.599999,13.689999
world,world,13.69,14.0
I'm,i'm,14.4,14.58
Jake,jake,14.58,14.66
Tapper,<unk>,14.67,14.68
And,and,15.66,15.81
I'm,i'm,15.809999,15.919998999999999
Dana,dana,15.92,16.18
Bash,bash,16.190001,16.530001
President,president,16.529999,17.009999
Trump,trump,17.02,17.33
has,has,17.34,17.57
made,made,17.58,17.88
the,the,17.879999,17.949999000000002
repeal,repeal,17.949999,18.349998999999997
and,and,18.35,18.450000000000003
replacement,replacement,18.47,19.0
of,of,19.01,19.1
the,the,19.11,19.22
Affordable,affordable,19.23,19.71
Care,care,19.7,19.97
Act,act,19.97,20.209999999999997
one,one,20.21,20.35
of,of,20.35,20.450000000000003
his,his,20.45,20.66
top,top,20.66,21.0
priorities,priorities,21.0,21.68
To,to,22.0,22.14
certain,certain,22.14,22.46
members,members,22.46,22.8
of,of,22.8,22.94
our,our,22.94,23.02
audience,audience,23.02,23.46
that,that,23.46,23.67
legislation,legislation,23.67,24.32
has,has,24.33,24.43
been,been,24.43,24.58
a,a,24.58,24.639999999999997
life,life,24.64,24.900000000000002
saver,saver,24.9,25.29
To,to,25.58,25.72
others,others,25.72,26.11
it,it,26.15,26.259999999999998
has,has,26.259999999999998,26.43
harmed,harmed,26.429999000000002,26.829999
livelihoods,livelihoods,26.849999,27.529999
These,these,27.91,28.15
defenders,defenders,28.15,28.74
and,and,28.77,29.08
supporters,supporters,29.08,29.56
of,of,29.559998999999998,29.689998999999997
Obamacare,,,
will,will,30.4,30.509999999999998
get,get,30.509999,30.689999
to,to,30.689999999999998,30.79
question,question,30.79,31.29
two,two,31.349999,31.739999
leading,leading,31.77,32.16
members,members,32.16,32.519999999999996
of,of,32.519999999999996,32.63999999999999
Congress,congress,32.639999,33.129999000000005
who,who,33.349999,33.499998999999995
will,will,33.5,33.6
shape,shape,33.599999,33.929998999999995
what,what,34.010000000000005,34.220000000000006
comes,comes,34.219999,34.459999
next,next,34.459998999999996,34.789998999999995
So,so,35.190000999999995,35.540001
please,please,35.639999,35.899999
welcome,welcome,35.9,36.3
the,the,36.299999,36.419999
runners,runners,36.42,36.85
up,up,36.859999,37.109999
for,for,37.13,37.24
the,the,37.24,37.32
Democratic,democratic,37.32,37.86
and,and,37.86,37.95
Republican,republican,37.95,38.45
nominations,<unk>,38.45,38.92
for,for,38.93,39.05
president,president,39.05,39.39
in,in,39.39,39.410000000000004
their,their,39.65,39.83
first,first,39.83,40.11
debate,debate,40.11,40.44
Senator,senator,40.44,40.86
Bernie,bernie,40.86,41.32
Sanders,sanders,41.36,41.9
