Welcome,welcome,1.18,1.3599999999999999
back,back,1.41,1.5
to,to,1.67,1.76
the,the,1.76,1.87
Republican,republican,1.87,2.33
presidential,presidential,2.37,2.91
here,here,3.5,3.88
in,in,3.88,4.04
North,north,4.04,4.21
Charleston,charleston,4.27,4.859999999999999
Right,right,5.02,5.25
back,back,5.25,5.43
to,to,5.43,5.529999999999999
the,the,5.53,5.63
questions,questions,5.72,6.17
applause,applause,6.17,6.22
Governor,governor,9.33,9.63
Christie,christie,9.63,10.13
we,we,10.219999,10.399999
have,have,10.4,10.48
spoken,spoken,10.55,10.99
much,much,10.99,11.46
about,about,11.49,11.88
cutting,cutting,11.98,12.46
spending,spending,12.48,13.05
given,given,13.73,13.99
the,the,13.99,14.08
19,<unk>,14.08,14.47
trillion,trillion,14.469999,14.839998999999999
debt,debt,15.12,15.44
But,but,16.119999,16.259999
according,according,16.26,16.580000000000002
to,to,16.58,16.7
one,one,16.699999,16.899998999999998
report,report,16.9,17.419999999999998
America,america,17.66,18.15
needs,needs,18.18,18.68
3,<unk>,18.69,19.27
6,<unk>,19.44,19.82
trillion,trillion,19.83,20.45
in,,,
infrastructure,infrastructure,21.08,21.83
spending,spending,21.83,22.34
by,by,22.39,22.55
2020,<unk>,22.57,23.32
Here,here,23.85,24.14
in,in,24.14,24.25
South,south,24.25,24.54
Carolina,carolina,24.54,25.15
11,,,
percent,percent,25.759999999999998,26.36
of,of,26.65,26.81
bridges,bridges,26.82,27.42
are,are,27.46,27.61
considered,considered,27.61,28.11
structurally,structurally,28.11,28.89
deficient,deficient,28.92,29.66
costing,costing,30.099999,30.529999
drivers,drivers,30.53,31.07
a,a,31.09,31.21
billion,billion,31.21,31.69
dollars,dollars,31.689999999999998,32.059999999999995
a,a,32.09,32.2
year,year,32.2,32.580000000000005
in,in,32.58,32.75
auto,auto,32.75,33.01
repairs,repairs,33.009999,33.699999
What,what,34.18,34.42
is,is,34.42,34.54
your,your,34.539999,34.689999
plan,plan,34.690000999999995,35.230000999999994
to,to,35.269999999999996,35.459999999999994
fix,fix,35.459998999999996,35.999998999999995
the,the,36.029999000000004,36.179999
ailing,ailing,36.21,36.64
roads,roads,36.65,36.97
and,,,
bridges,bridges,37.119999,37.469999
without,without,38.59,39.14
breaking,breaking,39.39,39.8
the,the,39.8,39.91
bank,bank,39.91,40.339999999999996
Well,well,40.45,40.63
I'm,i'm,40.96,41.12
glad,glad,41.12,41.3
you,you,41.3,41.379999999999995
asked,asked,41.38,41.57
that,,,
Maria,maria,41.63,41.89
Here's,here's,41.89,42.2
here's,here's,42.230000000000004,42.510000000000005
our,our,42.51,42.65
plan,plan,42.65,43.05
We've,we've,43.49,43.690000000000005
all,all,43.69,43.82
been,been,43.82,43.92
talking,talking,43.92,44.11
about,about,44.11,44.28
