Thank,thank,0.38,0.69
you,you,0.69,0.98
Let,let,1.75,1.97
us,us,1.97,2.23
pray,pray,2.25,2.81
Our,our,4.12,4.44
Father,father,4.44,5.08
who,who,5.42,5.62
art,art,5.64,5.9399999999999995
in,in,5.97,6.12
heaven,heaven,6.15,6.69
hallowed,<unk>,8.0,8.32
is,is,8.32,8.34
your,your,8.34,8.370000000000001
name,name,8.41,8.850000000000001
Thy,thy,9.48,9.56
kingdom,kingdom,9.73,10.21
come,come,10.21,10.46
thy,thy,11.270000000000001,11.360000000000001
will,will,11.360000000000001,11.420000000000002
be,be,11.59,11.72
done,done,11.719999,12.179999
on,on,12.74,12.97
earth,earth,13.02,13.4
as,as,13.74,13.9
it,it,14.18,14.200000000000001
is,is,14.200000000000001,14.290000000000001
in,in,14.290000000000001,14.43
heaven,heaven,14.43,14.96
Give,give,15.85,16.07
us,us,16.07,16.09
this,this,16.309999,16.469999
day,day,16.469999,16.929999000000002
our,our,17.18,17.44
daily,daily,17.449999,17.809998999999998
bread,bread,17.809999,18.259999
and,and,18.91,19.12
forgive,forgive,19.119999,19.539999
us,us,19.54,19.779999999999998
our,our,19.83,20.18
trespasses,<unk>,20.21,20.52
as,as,21.009999999999998,21.31
we,we,22.08,22.209999999999997
forgive,forgive,22.21,23.03
those,those,23.17,23.53
who,who,23.53,23.880000000000003
trespasses,<unk>,23.89,24.87
against,against,24.88,25.36
us,us,25.36,25.8
Lead,lead,26.599999,26.829999
us,us,26.83,27.13
not,not,27.179999000000002,27.529999000000004
into,into,27.58,27.939999999999998
temptation,temptation,27.939999999999998,28.83
but,but,29.34,29.55
deliver,,,
us,us,30.15,30.439999999999998
from,from,30.939999999999998,31.209999999999997
evil,evil,31.21,31.69
For,for,31.84,32.1
thine,thine,32.26,32.7
is,is,32.77,32.84
the,the,33.009999,33.159999
kingdom,kingdom,33.16,33.61
and,and,34.26,34.339999999999996
the,the,34.339999999999996,34.36
power,power,34.529999000000004,35.239999000000005
and,and,35.440000999999995,35.620000999999995
the,the,35.619999,35.749999
glory,glory,35.799999,36.069999
forever,forever,36.8,37.529999999999994
and,and,37.669999999999995,37.839999999999996
ever,ever,37.87,38.35999999999999
Amen,amen,38.96,39.18
Good,good,51.559999,51.649999
afternoon,afternoon,51.65,52.07
It,it,53.859999,54.009999
is,is,54.010000000000005,54.2
my,my,54.199999,54.399999
honor,honor,54.44,55.04
and,and,55.269999999999996,55.459999999999994
great,great,55.47,55.83
pleasure,pleasure,55.88,56.56
to,to,56.87,57.019999999999996
stand,stand,57.02,57.480000000000004
here,here,57.49,57.88
before,before,57.91,58.349999999999994
you,you,58.35,58.77
as,,,
the,the,59.33,59.51
First,first,59.51,59.96
Lady,lady,59.96,60.45
of,of,60.78,60.980000000000004
the,the,60.980000000000004,61.06
United,united,61.06,61.53
States,states,61.53,61.81
The,the,66.34,66.44
mid,,,
the,,,
America,america,66.44,66.95
we,we,67.25,67.57000000000001
envision,envision,67.82000000000001,68.32000000000001
is,is,68.56,68.66
one,one,68.73,69.09
that,that,69.259999,69.439999
works,works,69.48,69.98
for,for,70.01,70.24000000000001
all,all,70.289999,70.759999
Americans,americans,70.82999899999999,71.69999899999999
and,and,72.51,72.81
where,where,72.81,73.14
all,all,73.189999,73.589999
Americans,americans,73.64,74.56
can,can,74.59,74.81
work,work,74.82,75.47
and,and,75.8,76.03
succeed,succeed,76.03,76.79
A,a,77.9,78.04
nation,nation,78.04,78.75
committed,committed,78.8,79.44
to,to,79.47,79.64
a,a,79.64,79.71
greater,greater,79.71,80.41999999999999
civility,civility,80.7,81.53
and,and,82.03999999999999,82.25999999999999
unity,unity,82.26,82.74000000000001
between,between,82.74,83.14
people,people,83.17,83.79
from,from,84.34,84.68
all,all,84.69,85.25
sides,sides,85.259999,85.929999
of,of,86.809999,87.059999
the,the,87.059999,87.159999
political,political,87.17,87.9
divide,divide,87.92,88.73
I,i,90.78,90.96000000000001
will,will,90.96,91.17999999999999
always,always,91.19,91.82
stay,stay,91.83,92.27
true,true,92.27,92.58999999999999
to,to,92.59,92.78
myself,myself,92.78,93.61
and,and,94.24,94.44
be,be,94.46,94.63
truthful,truthful,94.63,95.33
