Yesterday,yesterday,0.4,0.92
I,i,0.92,1.02
spoke,spoke,1.02,1.27
with,,,
Mr,mr,1.35,1.61
Trump,trump,1.61,1.8900000000000001
And,and,1.89,2.01
I,i,2.01,2.05
began,began,2.05,2.3899999999999997
by,by,2.39,2.5300000000000002
asking,asking,2.53,3.0999999999999996
if,if,3.13,3.31
he,he,3.31,3.39
was,was,3.39,3.5100000000000002
surprised,surprised,3.51,4.26
to,to,4.36,4.510000000000001
have,,,
already,already,4.62,5.05
wrapped,wrapped,5.05,5.33
up,up,5.33,5.49
the,the,5.49,5.6000000000000005
Republican,republican,5.6,6.069999999999999
nomination,nomination,6.07,6.58
BEGIN,begin,8.06,8.11
TAPE,tape,8.11,8.14
Well,well,8.42,8.66
I,i,8.66,8.74
thought,thought,8.76,9.01
I'd,i'd,9.01,9.14
do,do,9.139999,9.359999
it,it,9.36,9.51
I,i,9.51,9.57
didn't,didn't,9.57,9.790000000000001
know,know,9.79,9.94
I,i,9.94,10.01
was,was,10.01,10.16
going,going,10.16,10.290000000000001
to,to,10.29,10.329999999999998
do,do,10.33,10.47
it,it,10.469999,10.579998999999999
this,this,10.58,10.790000000000001
early,early,10.79,11.09
I,i,11.09,11.209999999999999
assumed,assumed,11.21,11.600000000000001
that,that,11.599999,11.739999000000001
Hillary,hillary,11.75,12.2
would,would,12.2,12.36
be,be,12.37,12.51
watching,watching,12.509999,12.949999
me,me,12.95,13.149999999999999
as,as,13.15,13.31
opposed,opposed,13.309999,13.619999
to,to,13.63,13.8
me,me,13.809999,13.979999
watching,watching,13.98,14.360000000000001
Hillary,hillary,14.36,14.78
So,so,14.78,15.0
that's,that's,15.0,15.23
good,good,15.23,15.55
And,and,15.549999,15.879999
it's,it's,16.59,16.78
going,going,16.779999,16.909999
to,to,16.91,16.94
be,be,16.949999,17.039998999999998
an,an,17.039999,17.119999
interesting,interesting,17.119999,17.689999
things,things,17.699999,18.049999
because,because,18.049999,18.399999
Bernie,bernie,18.42,18.880000000000003
Sanders,sanders,18.9,19.349999999999998
is,is,19.35,19.470000000000002
not,not,19.48,19.68
being,being,19.68,19.87
treated,treated,19.87,20.2
fairly,fairly,20.2,20.7
Not,not,20.82,21.080000000000002
being,being,21.08,21.259999999999998
treated,treated,21.259999999999998,21.56
fairly,fairly,21.56,21.86
You,you,21.86,21.95
know,know,21.95,22.07
it's,it's,22.08,22.159999999999997
a,a,22.16,22.24
rigged,rigged,22.240000000000002,22.450000000000003
system,system,22.47,22.83
against,against,22.83,23.209999999999997
him,him,23.21,23.37
also,also,23.37,23.78
I'm,i'm,23.95,24.14
no,no,24.14,24.27
Bernie,bernie,24.27,24.63
fan,fan,24.63,24.98
I,i,24.98,25.04
can,can,25.04,25.23
tell,tell,25.23,25.36
you,you,25.36,25.53
that,that,25.53,25.740000000000002
But,but,25.740000000000002,25.96
it,it,26.130000000000003,26.320000000000004
is,is,26.32,26.48
a,a,26.48,26.61
rigged,rigged,26.619999999999997,27.109999999999996
system,system,27.130000000000003,27.680000000000003
Do,do,27.71,27.77
you,you,27.77,27.84
believe,believe,27.84,28.04
the,the,28.05,28.14
system,system,28.139999,28.479999
is,is,28.48,28.62
the,the,29.3,29.400000000000002
Republican,republican,29.4,29.88
system,system,29.880000000000003,30.200000000000003
was,was,30.2,30.36
pretty,pretty,30.36,30.599999999999998
rigged,rigged,30.599999,30.869999
too,too,30.9,31.15
even,even,31.179999000000002,31.349999000000004
though,though,31.349999,31.449999000000002
you're,you're,31.45,31.59
winning,winning,31.59,31.87
it,it,31.869999999999997,32.07
Yeah,yeah,32.679999,33.029999000000004
totally,totally,33.24,33.6
rigged,rigged,33.599999,33.839999
It,it,33.839999,33.859999
was,,,
totally,totally,34.18,34.44
