Good,good,1.12,1.35
evening,evening,1.35,1.79
from,from,1.81,1.97
the,the,1.97,2.06
Thomas,thomas,2.06,2.52
and,and,2.52,2.7
Mack,mack,2.7,3.0
Center,center,3.0,3.35
at,at,3.35,3.47
the,the,3.47,3.5500000000000003
University,university,3.55,4.18
of,of,4.18,4.319999999999999
Nevada,nevada,4.32,4.83
Las,las,4.86,5.2
Vegas,vegas,5.2,5.7
I'm,i'm,6.13,6.41
Chris,chris,6.41,6.67
Wallace,wallace,6.68,7.18
of,of,7.22,7.39
Fox,fox,7.4,7.79
News,news,7.79,8.33
and,and,8.639999,8.779999
I,i,8.78,8.83
welcome,welcome,8.83,9.21
you,you,9.21,9.370000000000001
to,,,
the,the,9.57,9.700000000000001
third,third,9.7,10.149999999999999
and,and,10.16,10.41
final,final,10.41,10.89
of,of,10.889999,10.949999
the,the,10.96,11.100000000000001
2016,<unk>,11.11,12.01
presidential,presidential,12.03,12.66
debates,debates,12.66,13.22
between,between,13.5,13.85
Secretary,secretary,13.87,14.5
of,of,14.5,14.58
State,state,14.589999,14.879999
Hillary,hillary,14.88,15.3
Clinton,clinton,15.299999,15.809999
and,and,15.87,16.09
Donald,donald,16.1,16.520000000000003
J,j,16.529999,16.849999
Trump,trump,16.859999,17.249999
This,this,17.93,18.13
debate,debate,18.129999,18.419999
is,is,18.42,18.48
sponsored,sponsored,18.48,18.96
by,by,18.96,19.060000000000002
the,the,19.06,19.189999999999998
Commission,commission,19.19,19.700000000000003
on,on,19.7,19.919999999999998
Presidential,presidential,19.94,20.59
Debates,debates,20.59,21.169999999999998
The,the,21.47,21.599999999999998
commission,commission,21.6,22.05
has,has,22.06,22.259999999999998
designed,designed,22.259999999999998,22.81
the,the,22.81,22.889999999999997
format,format,22.89,23.490000000000002
Six,six,23.81,24.189999999999998
roughly,roughly,24.19,24.720000000000002
15,,,
minute,minute,25.28,25.540000000000003
segments,segments,25.54,26.15
with,with,26.429999000000002,26.609999000000002
two,two,26.65,26.83
minute,minute,26.83,27.099999999999998
answers,answers,27.099999,27.669999
to,to,27.67,27.770000000000003
the,the,27.77,27.88
first,first,27.880000000000003,28.220000000000002
question,question,28.219999,28.859999000000002
then,then,29.09,29.32
open,open,29.369999999999997,29.769999999999996
discussion,discussion,29.77,30.45
for,for,30.46,30.59
the,the,30.59,30.7
rest,rest,30.7,31.04
of,of,31.04,31.18
each,each,31.179999000000002,31.369999000000004
segment,segment,31.369999999999997,31.759999999999998
Both,both,32.29,32.58
campaigns,campaigns,32.58,33.33
have,have,33.37,33.55
agreed,agreed,33.549999,34.019999
to,to,34.019999999999996,34.129999999999995
those,those,34.129999,34.449999
rules,rules,34.449999,34.999998999999995
For,for,35.480000000000004,35.71
the,the,35.709998999999996,35.809999
record,record,35.82,36.31
I,i,36.43,36.57
decided,decided,36.57,37.04
the,the,37.04,37.11
topics,topics,37.11,37.66
and,and,37.69,37.83
the,the,37.83,37.9
questions,questions,37.9,38.559999999999995
in,in,38.59,38.82
each,each,38.84,39.120000000000005
topic,topic,39.12,39.64
None,none,40.11,40.29
of,of,40.29,40.41
those,those,40.41,40.62
questions,questions,40.64,41.17
has,has,41.17,41.32
been,been,41.32,41.54
shared,shared,41.54,42.05
with,with,42.05,42.22
the,,,
commission,commission,42.269999999999996,42.83
or,or,42.84,43.13
the,the,43.13,43.25
two,two,43.25,43.49
candidates,candidates,43.519999999999996,44.15
The,the,44.639999,44.809999000000005
audience,audience,44.809999,45.219998999999994
here,here,45.22,45.39
in,,,
the,the,45.469999,45.559999000000005
hall,hall,45.559999,45.839999
has,has,45.84,45.980000000000004
promised,promised,45.980000000000004,46.410000000000004
to,to,46.42,46.52
remain,remain,46.519999999999996,46.87
silent,silent,46.87,47.18
No,no,47.19,47.419999999999995
cheers,cheers,47.42,48.11
boos,boos,48.12,48.73
or,or,49.0,49.25
other,other,49.299999,49.559999
interruptions,interruptions,49.61,50.269999999999996
so,so,50.28,50.47
we,we,50.469999,50.809999000000005
and,and,50.83,51.04
you,you,51.04,51.26
can,can,51.28,51.49
focus,focus,51.49,52.2
on,on,52.6,52.74
what,what,52.739999999999995,52.89999999999999
the,the,52.9,52.98
candidates,candidates,52.980000000000004,53.45
have,have,53.449999,53.659999
to,to,53.67,53.81
say,say,53.809999000000005,54.199999000000005
No,no,54.84,55.07
noise,noise,55.09,55.5
except,except,55.51,56.0
right,right,56.14,56.5
now,now,56.5,56.89
as,as,57.3,57.449999999999996
we,we,57.45,57.6
welcome,welcome,57.6,57.97
the,the,57.97,58.06
Democratic,,,
nominee,nominee,58.64,59.08
for,for,59.08,59.23
president,president,59.230000000000004,59.71
Secretary,secretary,59.71,60.35
