Please,please,0.92,1.2000000000000002
join,join,1.2,1.45
us,us,1.79,1.81
in,in,1.91,2.0300000000000002
welcoming,welcoming,2.03,2.3
Secretary,secretary,2.47,3.0200000000000005
Hillary,hillary,3.02,3.29
Clinton,clinton,3.29,3.46
and,and,3.9299999999999997,4.2
Senator,senator,4.2,4.48
Bernie,bernie,4.48,4.72
Sanders,sanders,4.72,5.0
applause,applause,5.0,5.15
First,first,43.37,43.51
I,i,43.509999,43.519999
want,want,43.519998,43.559998
to,to,43.559998,43.689998
say,,,
a,,,
special,special,45.0,45.35
thanks,thanks,45.349999,45.699999
to,to,46.12,46.23
the,the,46.230000000000004,46.330000000000005
New,new,46.33,46.44
Hampshire,hampshire,46.44,46.72
Union,,,
Leader,leader,47.11,47.44
for,for,47.5,47.7
helping,helping,47.7,48.09
make,make,48.09,48.28
this,this,48.28,48.46
debate,debate,48.46,48.69
possible,possible,48.69,49.29
and,and,49.62,49.779999999999994
the,the,49.78,49.870000000000005
readers,readers,49.87,50.3
who,who,50.299999,50.439999
helped,helped,50.44,50.65
provide,provide,50.65,51.14
some,some,51.139999,51.279999000000004
of,of,51.28,51.34
the,the,51.339999,51.399999
questions,questions,51.4,51.85
and,and,51.849999,52.019999
topics,topics,52.019999999999996,52.49999999999999
that,that,52.789999,53.029999000000004
we'll,we'll,53.029999000000004,53.189999
be,be,53.190000999999995,53.320001
addressing,addressing,53.32,53.86
tonight,tonight,53.859999,54.169999000000004
The,the,54.17,54.260000000000005
rules,rules,54.260000000000005,54.56
tonight,tonight,54.56,54.84
by,by,54.86,54.99
the,the,54.99,55.09
way,way,55.09,55.24
are,are,55.24,55.32
simple,simple,55.32,55.67
90,<unk>,56.45,56.57
seconds,seconds,56.58,57.0
for,for,57.39,57.58
answers,answers,57.58,57.989999999999995
30,,,
seconds,seconds,58.29,58.61
for,for,58.61,58.769999999999996
follow,follow,58.79,59.089999999999996
ups,ups,59.09,59.290000000000006
and,and,59.33,59.489999999999995
rebuttals,<unk>,59.62,60.08
And,and,60.39999999999999,60.849999999999994
with,with,61.09,61.28
that,that,61.28,61.480000000000004
that's,that's,61.51,61.769999999999996
it,it,61.769999999999996,61.97
We're,we're,62.0,62.15
going,going,62.269999999999996,62.309999999999995
to,to,62.309999999999995,62.35
begin,begin,62.36,62.9
with,with,63.469999,63.719999
60,,,
second,second,64.28,64.66
opening,opening,64.69,65.06
statements,statements,65.059999,65.879999
from,from,65.91,66.14999999999999
each,each,66.16,66.36999999999999
of,of,66.37,66.48
the,the,66.48,66.56
candidates,candidates,66.559999,67.109999
And,and,67.11,67.37
as,as,67.38,67.64
agreed,agreed,67.65,68.04
to,to,68.03999999999999,68.30999999999999
in,in,68.32,68.49
advance,advance,68.49,68.89
by,by,68.889999,68.999999
the,the,69.0,69.1
two,two,69.099999,69.259999
campaigns,campaigns,69.259999,69.909999
we're,we're,70.299999,70.519999
going,going,70.52,70.7
to,to,70.69999899999999,70.77999899999999
begin,begin,70.779999,71.049999
tonight,tonight,71.049999,71.389999
with,with,71.389999,71.699999
Senator,senator,71.82,72.19999999999999
Sanders,sanders,72.22,72.81
Rachel,rachel,73.17,73.49
thank,thank,73.52,73.75999999999999
you,you,73.76,73.84
very,very,73.84,74.07000000000001
much,much,74.07,74.50999999999999
Millions,millions,76.24,76.82
of,of,77.11,77.25
Americans,americans,77.33,78.2
are,are,78.91,79.00999999999999
giving,giving,79.01,79.35000000000001
up,up,79.35,79.50999999999999
on,on,79.59,79.8
the,the,79.8,79.89
political,political,79.89,80.31
process,process,80.309999,81.03999900000001
And,and,82.49,82.69
they're,,,
giving,giving,82.7,82.99000000000001
up,up,82.99,83.14
on,on,83.15,83.36
the,the,83.36,83.46
political,political,83.46,83.84
process,process,83.84,84.36
because,,,
they,,,
understand,understand,84.88,85.57
the,the,85.57,85.67999999999999
economy,economy,85.679999,86.429999
is,is,86.63,86.92999999999999
rigged,rigged,86.929999,87.269999
They,they,88.349999,88.469999
are,are,88.469999,88.47999899999999
working,working,88.65,89.12
longer,longer,89.119999,89.529999
hours,hours,89.6,90.11
for,for,90.19999899999999,90.32999899999999
low,low,90.33,90.55
wages,wages,90.55,90.99
They're,they're,90.99,91.13
worried,worried,91.13,91.53
about,about,91.53,91.87
the,the,91.87,91.97
future,future,91.98,92.39
of,of,92.39,92.59
their,their,92.59,92.78
kids,kids,92.78,93.32000000000001
and,and,94.54,94.73
yet,yet,94.73,95.01
almost,almost,95.28,95.68
all,all,95.71,96.22999999999999
new,new,96.23,96.62
income,income,96.67,97.34
and,and,97.4,97.65
wealth,wealth,97.65,98.16000000000001
is,is,98.679999,98.879999
going,going,98.88,99.14
to,to,99.139999,99.279999
the,the,99.28,99.4
top,top,99.4,99.71000000000001
1,<unk>,99.86000000000001,100.51
percent,percent,100.72000000000001,100.79
Not,not,101.21000000000001,101.52000000000001
what,what,101.57,101.77999999999999
America,america,101.809999,102.42999900000001
is,is,102.82,102.97
supposed,supposed,102.98,103.41000000000001
to,to,103.429999,103.549999
be,be,103.549999,103.709999
about,about,103.71000000000001,104.08000000000001
Not,not,104.34,104.60000000000001
the,the,104.599999,104.749999
fairness,fairness,104.759999,105.49999899999999
that,that,105.86,106.02
we,we,106.029999,106.279999
grew,grew,106.279999,106.53999900000001
up,up,106.539999,106.66999899999999
believing,believing,106.83,107.41
that,that,107.65,107.82000000000001
America,america,107.82,108.27
was,was,108.59,108.79
about,about,108.79,109.25
And,and,109.84,110.04
then,then,110.04,110.2
sustaining,sustaining,110.2,111.0
