Welcome,welcome,0.69,0.95
to,to,1.12,1.1900000000000002
the,the,1.19,1.28
first,first,1.28,1.6
debate,debate,1.6,1.9000000000000001
night,night,1.93,2.1799999999999997
of,of,2.21,2.27
the,the,2.28,2.4099999999999997
2016,<unk>,2.41,3.0300000000000002
presidential,presidential,3.03,3.59
campaign,campaign,3.59,4.22
live,live,4.45,4.87
from,from,4.89,5.08
Quicken,quicken,5.08,5.44
Loans,loans,5.44,5.7700000000000005
Arena,arena,5.77,6.119999999999999
in,in,6.12,6.2700000000000005
Cleveland,cleveland,6.27,6.67
Ohio,ohio,6.67,7.2
I'm,i'm,7.57,7.86
Megyn,<unk>,7.87,7.88
Kelly,kelly,8.11,8.41
applause,applause,18.82,18.900000000000002
along,,,
with,,,
my,,,
co,,,
moderators,,,
Brett,,,
Baier,,,
and,,,
Chris,,,
Wallace,,,
Tonight,,,
applause,,,
Nice,nice,18.9,19.21
Tonight,tonight,20.29,20.58
thousands,thousands,20.71,21.05
of,of,21.05,21.09
people,people,21.3,21.62
here,here,21.62,21.84
in,in,21.84,21.93
the,the,21.93,22.02
Q,q,22.02,22.55
along,along,22.9,23.2
with,with,23.2,23.36
millions,millions,23.36,23.74
of,of,23.740000000000002,23.85
voters,voters,23.86,24.25
at,at,24.25,24.36
home,home,24.36,24.68
will,will,24.68,24.79
get,get,24.79,24.96
their,their,24.96,25.11
very,very,25.11,25.439999999999998
first,first,25.44,25.75
chance,chance,25.75,26.17
to,to,26.17,26.32
see,see,26.32,26.59
the,the,26.59,26.7
candidates,candidates,26.7,27.169999999999998
face,face,27.17,27.46
off,off,27.46,27.830000000000002
in,in,28.119999999999997,28.299999999999997
a,a,28.3,28.37
debate,debate,28.369999999999997,28.869999999999997
answering,answering,29.219999,29.649999
the,the,29.65,29.74
questions,questions,29.740000000000002,30.32
you,you,30.45,30.7
want,want,30.77,30.97
answered,answered,30.97,31.45
Less,less,32.2,32.540000000000006
than,than,32.54,32.72
a,a,32.719999,32.769999
year,year,32.769999999999996,33.04
from,from,33.04,33.22
now,now,33.219999,33.679999
in,in,33.74,33.93
this,,,
very,very,34.34,34.78
arena,arena,34.779999000000004,35.259999
one,one,35.59,35.830000000000005
of,of,35.83,35.949999999999996
these,these,35.949999,36.179998999999995
10,,,
candidates,candidates,36.56,37.28
or,or,37.61,37.839999999999996
one,one,37.84,38.0
of,of,38.0,38.08
the,the,38.08,38.17
seven,seven,38.18,38.78
on,on,38.8,38.97
the,the,38.97,39.04
previous,previous,39.04,39.5
debate,debate,39.5,39.89
tonight,tonight,39.89,40.32
will,will,40.66,40.989999999999995
accept,accept,40.99,41.620000000000005
the,the,41.67,41.83
Republican,republican,41.83,42.44
party's,party's,42.44,42.96
nomination,nomination,43.01,43.699999999999996
applause,,,
Tonight's,tonight's,44.44,44.78
candidates,candidates,44.78,45.35
were,were,45.349999,45.50999899999999
selected,selected,45.51,46.03
based,based,46.03,46.31
on,on,46.309999,46.429998999999995
an,an,46.429999,46.539999
average,average,46.58,46.98
of,of,46.980000000000004,47.13
five,five,47.139999,47.529999000000004
national,national,47.53,47.99
polls,polls,47.99,48.580000000000005
Just,just,48.83,49.07
a,a,49.07,49.12
few,few,49.12,49.33
hours,hours,49.33,49.64
ago,ago,49.639999,49.969999
you,you,49.969999,50.179999
heard,heard,50.179999,50.539999
from,from,50.559999,50.719998999999994
the,the,50.719999,50.809999000000005
candidates,candidates,50.809999,51.319998999999996
ranked,ranked,51.32,51.59
11th,<unk>,52.019999999999996,52.16
through,through,52.16,52.36
17,<unk>,52.519999999999996,53.08
And,and,53.08,53.26
now,now,53.6,54.13
the,the,54.139999,54.279999000000004
prime,prime,54.28,54.6
time,time,54.609999,54.889999
event,event,54.9,55.3
the,the,56.0,56.13
top,top,56.13,56.400000000000006
10,<unk>,56.41,56.63999999999999
Also,also,57.64,58.11
of,of,58.11,58.25
note,note,58.25,58.48
Fox,fox,58.480000000000004,58.88
News,news,58.88,59.31
is,is,59.35,59.65
partnering,partnering,59.69,60.4
for,for,60.4,60.54
tonight's,tonight's,60.54,60.94
debate,debate,60.97,61.35
with,with,61.35,61.52
Facebook,<unk>,61.93,62.08
For,for,62.11,62.25
the,the,62.25,62.37
past,past,62.41,62.75
several,several,62.76,63.33
weeks,weeks,63.34,63.830000000000005
we've,we've,64.2,64.41
been,been,64.41,64.55
asking,asking,64.559999,65.029999
you,,,
for,for,65.599999,65.749999
questions,questions,65.75,66.28
for,for,66.28999999999999,66.39999999999999
the,the,66.4,66.52000000000001
candidates,candidates,66.52,67.08999999999999
on,on,67.09,67.3
Facebook,<unk>,67.3,67.31
Nearly,nearly,68.969999,69.349999
6,,,
million,million,70.029999,70.559999
of,of,70.559999,70.719999
you,,,
6,,,
million,million,71.25,71.73
viewed,viewed,71.74,72.13
the,the,72.129999,72.19999899999999
debate,debate,72.2,72.55
videos,videos,72.55,73.11
on,on,73.11,73.34
our,our,73.34,73.54
site,site,73.54,73.91000000000001
and,,,
more,more,74.08,74.3
than,than,74.3,74.55
40,<unk>,74.56,74.57000000000001
000,<unk>,74.58000000000001,75.47000000000001
of,of,75.64,75.77
you,you,75.77,76.16
submitted,submitted,76.54,76.94000000000001
questions,questions,76.94,77.39
some,some,77.39,77.58
of,,,
which,,,
you,you,78.28,78.49
will,will,78.49,78.74
hear,hear,78.74,79.08
us,us,79.08,79.31
asking,asking,79.36,79.8
the,the,79.8,79.94
candidates,candidates,80.099999,80.659999
tonight,tonight,80.66,81.09
As,as,81.59,81.79
for,for,81.8,81.89999999999999
the,the,81.9,82.01
candidates,candidates,82.01,82.42
who,who,82.42,82.56
will,will,82.559999,82.70999900000001
be,be,82.71000000000001,82.88000000000001
answering,answering,82.88,83.39999999999999
those,those,83.4,83.62
questions,questions,83.639999,84.329999
Here,here,84.69,84.89999999999999
they,they,84.9,85.10000000000001
are,are,85.099999,85.429999
Positioned,positioned,85.94,86.41
on,on,86.41,86.50999999999999
the,the,86.509999,86.599999
stage,stage,86.599999,87.019999
by,by,87.13,87.27
how,how,87.28,87.44
they,they,87.44,87.6
stand,stand,87.599999,87.879999
in,in,87.88,87.97999999999999
the,,,
polls,polls,88.02,88.53999999999999
in,in,88.73,88.91000000000001
the,,,
center,center,89.0,89.3
of,of,89.299999,89.359999
the,the,89.4,89.51
stage,stage,89.51,89.91000000000001
tonight,tonight,89.91,90.33
businessman,businessman,90.84,91.62
Donald,donald,91.74,92.14
Trump,trump,92.15,92.53
applause,,,
Former,,,
Florida,,,
Governor,,,
Jeb,,,
Bush,,,
applause,,,
Wisconsin,,,
Governor,,,
Scott,,,
Walker,,,
applause,,,
Former,,,
Arkansas,,,
Governor,,,
Mike,mike,110.6,110.89
Huckabee,<unk>,110.89,111.26
applause,,,
Neurosurgeon,<unk>,114.14,114.32000000000001
Dr,dr,114.75,115.09
Ben,ben,115.09,115.4
Carson,carson,115.5,115.98
applause,applause,118.81,118.86
Texas,texas,118.86,118.92
Senator,senator,119.09,119.64
Ted,,,
Cruz,,,
applause,applause,123.07000000000001,123.12
Florida,florida,123.12,123.5
Senator,senator,123.5,123.97
Marco,marco,123.99,124.38
Rubio,<unk>,124.41,124.83
applause,applause,128.52,128.57
Kentucky,kentucky,128.569999,128.879999
Senator,senator,128.92,129.41
Rand,rand,129.48,129.82
Paul,paul,129.99,130.55
applause,applause,132.51000000000002,132.56
New,new,132.56,132.68
Jersey,jersey,132.71,132.96
Governor,governor,133.13,133.64
Chris,chris,133.84,134.06
Christie,christie,134.07,134.34
applause,applause,134.66,134.75
And,and,136.88,137.07
your,your,137.07,137.32
very,very,137.809999,138.119999
own,own,138.12,138.35
governor,governor,138.41,138.93
of,of,138.98999999999998,139.15
Ohio,ohio,139.15,139.57999999999998
applause,applause,154.23999899999998,154.289999
John,,,
Kasich,,,
applause,,,
Brett,,,
Brett,brett,161.85999999999999,162.07
I,i,162.129999,162.289999
think,think,162.32999999999998,162.5
you,you,162.5,162.51999999999998
would,would,162.69,162.81
call,call,162.94,163.14
that,that,163.14,163.32
a,a,163.32,163.39
home,home,163.39,163.64
field,field,163.64,163.89999999999998
advantage,advantage,163.9,164.20000000000002
It,it,164.2,164.28
might,might,164.42,164.69
be,be,164.69,164.89
It,,,
might,might,165.04,165.26999999999998
be,be,165.27,165.42000000000002
We'll,we'll,165.45,165.66
see,see,165.66,165.98
Is,,,
this,,,
in,,,
the,the,166.54,166.66
rules,rules,166.66,166.85
An,,,
objection's,<unk>,167.15,167.51999999999998
coming,coming,167.57,167.68
It,it,167.85,167.98999999999998
might,might,167.99,168.19
be,be,168.19,168.4
The,the,168.42,168.54999999999998
rules,rules,168.55,168.88000000000002
for,for,168.88,169.01999999999998
tonight,tonight,169.02,169.38000000000002
are,are,169.38,169.45
simple,simple,169.45,169.85999999999999
One,one,170.139999,170.499999
minute,minute,170.5,170.83
for,for,170.83,171.0
answers,answers,171.0,171.57
30,,,
seconds,seconds,172.0,172.5
for,for,172.5,172.69
follow,follow,172.69,173.1
ups,ups,173.099999,173.389999
And,and,173.679999,173.849999
if,if,173.849999,173.979999
a,a,173.98,174.04999999999998
candidate,candidate,174.05,174.51000000000002
runs,runs,174.53,174.9
over,over,174.9,175.31
you'll,you'll,175.32,175.6
hear,hear,175.599999,175.889999
this,this,175.889999,176.439999
Pleasant,pleasant,177.389999,177.76999899999998
no,no,177.77,178.14000000000001
We,we,178.92000000000002,179.06
also,also,179.059999,179.319999
have,have,179.32,179.48
a,a,179.48,179.51
big,big,179.51,179.67
crowd,crowd,179.68,179.99
here,here,179.99,180.15
with,with,180.15,180.32
us,us,180.32,180.47
tonight,tonight,180.47,180.89
in,in,180.89,181.01999999999998
the,the,181.02,181.14000000000001
home,home,181.14,181.45
of,of,181.45,181.57
the,the,181.57,181.63
Cavaliers,cavaliers,181.63,182.32999999999998
as,as,182.33,182.49
I,i,182.49,182.57000000000002
mentioned,mentioned,182.61,183.04000000000002
And,and,183.31,183.45
while,while,183.45,183.63
we,we,183.63,183.79
expect,expect,183.79,184.2
them,them,184.2,184.48999999999998
applause,applause,184.89,184.93999999999997
we,we,184.95,185.10999999999999
expect,expect,185.10999999999999,185.26999999999998
them,them,185.44,185.60999999999999
to,to,185.61,185.70000000000002
be,be,185.71,185.83
enthusiastic,enthusiastic,185.83,186.59
as,as,186.59,186.71
you,you,186.71,186.83
heard,heard,186.83,187.22
we,we,187.44,187.59
don't,don't,187.59,187.75
want,want,187.75,187.86
to,to,187.86,187.94000000000003
take,take,187.94,188.24
anything,anything,188.24,188.58
away,away,188.58,188.82000000000002
from,from,188.82,188.93
the,the,188.929999,189.00999900000002
valuable,valuable,189.01,189.44
time,time,189.44,189.98
for,for,189.99,190.25
the,the,190.25,190.36
candidate,candidate,190.36,190.82000000000002
So,so,190.88,191.34
we're,we're,191.53,191.77
looking,looking,191.77,192.33
for,for,192.349999,192.639999
somewhere,somewhere,192.639999,193.069999
between,between,193.07,193.89
a,a,194.07,194.18
reaction,reaction,194.179999,194.66999900000002
to,to,194.67,194.69
a,a,194.849999,194.939999
LeBron,lebron,194.94,195.41
James,james,195.41,195.82999999999998
dunk,dunk,195.83,196.38000000000002
and,and,196.789999,197.349999
the,the,197.359999,197.52999899999998
Cleveland,cleveland,197.529999,198.009999
Public,public,198.01,198.35999999999999
Library,library,198.36,198.87
across,across,198.87,199.21
the,the,199.38,199.4
street,street,199.4,199.45000000000002
laughter,,,
Somewhere,somewhere,200.06,200.77
there,there,200.78,201.12
we'll,we'll,201.12,201.3
find,find,201.3,201.56
a,a,201.56,201.6
balance,balance,201.6,202.01999999999998
tonight,tonight,202.02,202.42000000000002
Without,without,203.07,203.41
further,further,203.41,203.75
ado,ado,203.75,204.25
let's,let's,204.57,204.81
